A                PRECIPITACION (MM)
A                CUENCA: SONDOR (Formato para extender datos)
A
B       1988            1            1       27           0           0            1           0           0           0
C
H1072003    7290  11930    9420    7280    9560    5770    1650  1450    1560    7890    7409  10410
H1072004    5759    7980    5770  16130  10850    6060    9970  2130    4110    7990  17100  10200
H1072005    4400  20000  15290    2420    3910    6459    2170    840    1550  15840    7340    6659
H1072006  10450  15360  25150    8580    3530    5940    2260  1900    4070  10860  10030    3800
H1072007  11590    3570  12919    9530    9290    1670    4330  3080    2050  12810  23510    4750
H1072008  11610  29720  14320  11850    6759    3850    5740  2610    8490  12919    5140    4960
H1072009  12240  11830  25750  13230    6740    7020    5150  3590    5059    5550  12140    6600
H1072010    3200  17210  16620  18040    5250    2510    2080    540    4090    7239    4430  10090
H1072011    6440    5840  13580  12290    7890    4750    4120  1970    7609  13319    6680  13130
H1072012  16590  12700  14950  21770    4620    1780    4020  2840    1450    8980    8840  12930
H1072013  12250    8350  16630  12750  18540    3250    1760  6990    1889  12930    2340    8170
H1072014           0           0           0  12860  13819    4830          -1        -1          -1          -1          -1          -1
A
